hhid,zone,state,lga,urca_cat,adult_count,members_under_18,members_18_30,members_31_55,members_over_55,number_of_rooms,solar_supply_hours,generator_supply_hours,generator_count,generator_monthly_cost,minigrid_supply_hours,minigrid_monthly_bill,national_grid_supply_hours,national_grid_monthly_bill,air_cooler_count,fridge_count,washing_machine_count,ac_count,electric_cooker_count,thermal_appliance_count,household_size,daily_supply_hours,estimated_service_band,fan_count,laptop_computer_count,light_bulb_count,mobile_phone_charger_count,radio_count,television_count,fan_usage_hours,laptop_computer_usage_hours,light_bulb_usage_hours,mobile_phone_charger_usage_hours,radio_usage_hours,television_usage_hours,light_bulb_monthly_kwh,fan_monthly_kwh,television_monthly_kwh,mobile_phone_charger_monthly_kwh,laptop_computer_monthly_kwh,radio_monthly_kwh,fridge_monthly_kwh,ac_monthly_kwh,washing_machine_monthly_kwh,electric_cooker_monthly_kwh,thermal_appliance_monthly_kwh,air_cooler_monthly_kwh,estimated_monthly_kwh,supply_factor,estimated_monthly_kwh_adjusted,consumption_category,average_ac_usage_hours,kmeans_cluster,hierarchical_cluster,gmm_cluster,energy_segment,pca_1,pca_2
d8af8ab5-30ab-4d9f-bfe4-81231dbe5dbf,North Central,Niger,mashegu,<1hr to small city/town+,5,13,4,1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3000.0,0,1,0,0,0,1,18,4.0,Band E,8,0,15,4,0,2,4.0,0.0,5.0,4.0,0.0,7.0,22.5,57.6,42.0,2.4,0.0,0.0,54.0,0.0,0.0,0.0,18.0,0.0,39.3,0.2,39.3,High Consumption,0,1,0,1,Moderate Fan-Heavy Household,2.5958009787502605,3.4702259402618925
e8245d5c-8130-4e78-b4b0-1053b7ecbc9b,North Central,Niger,mashegu,<1hr to small city/town+,6,4,3,2,1,9,0.0,6.0,1.0,6000.0,0.0,0.0,6.0,3000.0,0,0,0,0,0,0,10,6.0,Band E,1,0,12,4,1,1,5.0,0.0,6.0,5.0,3.0,5.0,21.6,9.0,15.0,3.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,12.375,0.25,12.375,Moderate Consumption,0,1,0,1,Low-Use Basic Household,-0.17204752018145805,1.6514348560932945
435c8e27-517a-46b9-af04-48830e086d7a,North West,Kano,garun_malam,<1hr to large city,3,3,2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2000.0,0,0,0,0,0,1,6,12.0,Band C,2,0,6,3,4,1,12.0,0.0,12.0,5.0,2.0,5.0,21.6,43.2,15.0,2.25,0.0,2.4,0.0,0.0,0.0,0.0,18.0,0.0,51.22500000000001,0.5,51.22500000000001,Very High Consumption,0,1,0,1,High Consumption Household,-0.11745144048065906,-0.03057126357163664
9303fa53-9fd2-41a9-9f0d-9567dbe5168e,North West,Kano,garun_malam,<1hr to large city,3,7,2,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2000.0,1,1,0,0,0,1,10,12.0,Band C,6,1,20,4,4,1,12.0,4.0,12.0,5.0,3.0,5.0,72.0,129.6,15.0,3.0,7.2,3.6,54.0,0.0,0.0,0.0,18.0,12.0,157.2,0.5,157.2,Very High Consumption,0,1,0,0,Appliance-Heavy High Consumption,3.4325815347947857,2.378011639984277
c62cc5a5-29c5-423b-9543-a7b05bda454b,North West,Kano,garun_malam,<1hr to large city,2,4,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1000.0,0,0,0,0,0,1,6,5.0,Band E,0,0,3,2,0,0,0.0,0.0,5.0,3.0,0.0,0.0,4.5,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.875,0.2083333333333333,4.875,Moderate Consumption,0,1,0,1,Low-Use Basic Household,-1.8755295596413097,-0.6980277393689638
d3cb220c-85a6-4f47-b6f3-16afac111a0c,North West,Kaduna,chikun,<1hr to large city,3,1,0,2,1,5,0.0,4.0,1.0,5000.0,0.0,0.0,2.0,5000.0,0,1,0,0,0,0,4,4.0,Band E,1,0,5,2,1,1,3.0,0.0,2.0,2.0,0.0,5.0,3.0,5.4,15.0,0.6,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,15.6,0.2,15.6,Moderate Consumption,0,1,0,1,Low-Use Basic Household,-0.3664450037539856,-0.2682456961974434
2778d899-69d6-4943-896f-de0175716609,North West,Kaduna,giwa,<1hr to large city,4,5,3,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3000.0,0,0,0,0,0,0,9,6.0,Band E,0,0,10,2,0,0,0.0,0.0,6.0,4.0,0.0,0.0,18.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.25,4.8,Low Consumption,0,1,0,1,Low-Use Basic Household,-0.9289395721761942,1.229532895539786
6acc2fae-6517-4360-a48a-0b73aa89953c,North Central,Niger,mashegu,<1hr to small city/town+,13,8,10,2,1,9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1000.0,0,0,0,0,0,0,21,8.0,Band D,0,0,8,4,0,0,0.0,0.0,7.0,3.0,0.0,0.0,16.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.3333333333333333,6.2,Moderate Consumption,0,1,0,1,Low-Use Basic Household,-0.881663801834095,2.0415178818269175
2fb2310c-02b8-4c8c-97de-024b05008625,North Central,Niger,mashegu,<1hr to small city/town+,10,4,7,2,1,8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1000.0,0,0,0,0,0,1,14,5.0,Band E,0,0,10,3,0,2,0.0,0.0,5.0,3.0,0.0,2.0,15.0,0.0,12.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,9.65625,0.2083333333333333,9.65625,Moderate Consumption,0,1,0,1,Low-Use Basic Household,-0.17151300867922448,1.8452923407543698
80a0c152-d59a-497e-9ae6-ecd97e4ce53f,North Central,Niger,mashegu,<1hr to small city/town+,8,0,6,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1000.0,0,0,0,0,0,1,8,6.0,Band E,0,0,5,3,1,0,0.0,0.0,6.0,3.0,4.0,0.0,9.0,0.0,0.0,1.35,0.0,1.2,0.0,0.0,0.0,0.0,18.0,0.0,7.387499999999999,0.25,7.387499999999999,Moderate Consumption,0,1,0,1,Low-Use Basic Household,-1.5407728560150544,-0.06304156730942856
